,0
Total_Revolving_Bal,-0.000614463537907723
Avg_Open_To_Buy,0.00030976316668628897
Credit_Limit,-0.0003047002504143988
Total_Trans_Amt,-0.0002646617545455848
monthly_spend,-2.205514027661615e-05
Total_Trans_Ct,-1.7883483914748274e-05
avg_txn_value,1.3528726976396785e-05
Total_Relationship_Count,-1.1190160742481687e-06
Contacts_Count_12_mon,7.154611850145428e-07
Months_Inactive_12_mon,5.369384140847002e-07
Customer_Age,4.4755505396580933e-07
spend_quintile,-2.7832872141607635e-07
Total_Ct_Chng_Q4_Q1,-2.1678158158603817e-07
Dependent_count,1.8257864746405266e-07
Months_on_book,1.542884735914848e-07
tenure_months,1.54288473591484e-07
Avg_Utilization_Ratio,-1.498185913706487e-07
Total_Amt_Chng_Q4_Q1,-8.530726477711091e-08
CLIENTNUM,2.0794743051295868e-10
